"文件路径","函数名/类名","数据主题","数据源名称","endpoint / URL / 第三方库","输入参数","输出字段","单位口径","是否实时","是否适配 A 股","是否有 fallback","失败时当前如何处理","是否返回 Markdown 或自然语言文本","是否可能被 Agent 误读","初步稳定性评级","初步备注"
"tradingagents/dataflows/a_stock.py","resolve_ticker / _build_name_code_map","股票名称-代码映射","mootdx 通达信股票列表","mootdx.quotes.Quotes.stocks(market=0/1); TCP 7709; 内置 TDX IP 列表","user_input; market=0/1","name->code; code->name","A 股 6 位代码; 仅过滤 0/3/6 开头","否","是","是; _get_mootdx_client 在内置 IP、bestip、默认 factory 间 fallback","mootdx 不可达时抛 ValueError; 提示重试或输入 6 位代码","否","中","一般","依赖通达信 TCP 可达性; 北交所 8 开头代码未纳入 name-code map 过滤"
"tradingagents/dataflows/a_stock.py","get_stock_data","行情/K线","mootdx; 新浪财经 fallback/supplement","mootdx Quotes.bars(category=4, offset=800); http://money.finance.sina.com.cn/quotes_service/api/json_v2.php/CN_MarketData.getKLineData","symbol; start_date; end_date","Date; Open; High; Low; Close; Volume","价格元; Volume 未明确股/手; 日线 scale=240; 最多约 800 条","否","是","是; mootdx 异常或旧数据时使用新浪 fallback/supplement","双源失败返回中文错误文本; 空区间返回 No data found 文本","是; header + CSV","高","一般","失败文本和正常数据同为 str; fallback 会在 header 标明但非结构化"
"tradingagents/dataflows/a_stock.py","get_indicators","技术指标","stockstats + mootdx/Sina OHLCV","stockstats.wrap; _load_ohlcv_astock -> mootdx bars + Sina supplement; 本地 CSV cache","symbol; indicator; curr_date; look_back_days","日期: 指标值; 指标说明","指标单位随指标而变; N/A 表示非交易日","否","是","是; _load_ohlcv_astock 内部 mootdx->Sina; cache 当日复用","异常时返回 Error calculating ... 文本","是; Markdown/自然语言","高","一般","技术指标值、错误、非交易日提示混在同一文本中; Volume 口径继承上游"
"tradingagents/dataflows/a_stock.py","get_fundamentals","基本面/估值","腾讯财经; mootdx; 东方财富 push2; 同花顺","https://qt.gtimg.cn/q=...; mootdx finance; https://push2.eastmoney.com/api/qt/stock/get; https://basic.10jqka.com.cn/new/{code}/worth.html","ticker; curr_date","Name; Price; PE; PB; Market Cap; Float Market Cap; Turnover; EPS; ROE; Revenue; shares; industry; listing date; consensus EPS; forward PE; PEG","市值字段混用 亿元/原始数值; 财务字段单位未统一; EPS 元/股","部分实时","是","是; 每个子源失败仅 warning 后继续","子源失败静默跳过; 全部为空返回 No fundamentals data found; 总异常返回 Error 文本","是; Markdown/自然语言","高","高风险","多源拼接无来源字段级标注; 市值单位存在 100M CNY 与东财原始数值并列风险"
"tradingagents/dataflows/a_stock.py","get_balance_sheet","财务报表","新浪财经","https://quotes.sina.cn/cn/api/openapi.php/CompanyFinanceService.getFinanceReport2022?source=fzb","ticker; freq; curr_date","新浪返回资产负债表字段全集 CSV","新浪中文字段原始口径; 单位未在代码中声明","否","是","否","空结果返回 No balance sheet data found; 异常返回 Error 文本","是; header + CSV","中","一般","字段未经规范化; 年报筛选按报告日月份=12"
"tradingagents/dataflows/a_stock.py","get_cashflow","财务报表","新浪财经","https://quotes.sina.cn/cn/api/openapi.php/CompanyFinanceService.getFinanceReport2022?source=llb","ticker; freq; curr_date","新浪返回现金流量表字段全集 CSV","新浪中文字段原始口径; 单位未在代码中声明","否","是","否","空结果返回 No cash flow data found; 异常返回 Error 文本","是; header + CSV","中","一般","同一 helper 与其他三表共用; 字段/单位依赖新浪"
"tradingagents/dataflows/a_stock.py","get_income_statement","财务报表","新浪财经","https://quotes.sina.cn/cn/api/openapi.php/CompanyFinanceService.getFinanceReport2022?source=lrb","ticker; freq; curr_date","新浪返回利润表字段全集 CSV","新浪中文字段原始口径; 单位未在代码中声明","否","是","否","空结果返回 No income statement data found; 异常返回 Error 文本","是; header + CSV","中","一般","字段未经规范化; 空结果容易被当作公司无报表"
"tradingagents/dataflows/a_stock.py","get_news","个股新闻/舆情","东方财富搜索; 新浪财经 fallback","https://search-api-web.eastmoney.com/search/jsonp; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllNewsStock.php","ticker; start_date; end_date","title; content/snippet; time; source; url","新闻文本; 时间按发布时间字符串; 内容截断 300 字","近实时/延迟未知","是","是; 东财无结果或异常时切新浪","两源无结果返回 No news found; 单源异常 warning 后继续","是; Markdown 新闻列表","高","高风险","媒体二手报道会以标题/摘要进入 Agent; 查询仅用代码 keyword; 可能缺公告原文和官方核验"
"tradingagents/dataflows/a_stock.py","get_global_news","宏观/市场新闻","财联社; 东方财富 7x24","https://www.cls.cn/nodeapi/telegraphList; https://np-weblist.eastmoney.com/comm/web/getFastNewsList","curr_date; look_back_days; limit","title; content/summary; time; source","新闻文本; 财联社 ctime 转本地时间; 东财 showTime 原样","近实时","部分; 市场级","是; 财联社和东财并列聚合","单源异常 warning; 全空返回 No global news found","是; Markdown 新闻列表","高","高风险","市场级/宏观新闻可能被个股 Agent 过度映射为个股事实; 未按 curr_date 严格过滤 all_news"
"tradingagents/dataflows/a_stock.py","get_insider_transactions","股东/内部人近似数据","mootdx F10 股东研究","mootdx Quotes.F10(symbol, name='股东研究')","ticker","F10 原始文本; 股东变化片段","F10 文本原始口径; 非美股 insider transaction","否","是","否","空文本返回 No insider/shareholder data found; 异常返回 Error 文本","是; header + F10 自然语言","高","高风险","将股东研究作为 insider transactions 等价物; 下游可能误读为真实内部人交易"
