TradingAgents 原函数名,当前函数在代码中的实际数据来源,当前函数名称暗示的业务含义,当前函数实际返回内容的业务含义,当前 Smoke Test 暴露的技术问题,第一批是否必须修,Tushare 候选接口名,Tushare 接口中文名,Tushare 接口真实业务含义,Tushare 权限原文,5000 积分是否稳定可用,是否只是试用权限,是否需单独权限,是否与原函数业务语义完全匹配,是否只是部分匹配,是否语义不匹配,是否适合作为第一批主替换源,是否适合作为第一批备用源,是否只适合作为第二批业务补充,是否不建议使用,推荐结论,推荐理由,需要我人工确认的问题
a_stock.get_profit_forecast,同花顺 basic.10jqka.com.cn worth.html；`_ths_eps_forecast` 用 pandas.read_html 解析机构 EPS 一致预期表；再结合腾讯实时价格计算 Forward PE/PEG。,机构盈利预测 / 分析师一致预期 / Forward valuation，而不是上市公司正式业绩预告。,返回 Consensus EPS Forecast、预测机构数、EPS 均值/区间、低覆盖提示、当前价、PE(TTM)、Forward PE、PEG 等。,正常股票 600519 返回同花顺 HTML/反爬页异常文本，长度约 281991，失败内容进入普通返回字符串。,是,report_rc,卖方盈利预测数据,券商/卖方研报盈利预测数据，按研报日期和预测报告期提供机构、作者、预测 EPS/利润等，语义最接近“机构盈利预测”。,描述：获取券商（卖方）每天研报的盈利预测数据，数据从2010年开始，每晚19~22点更新当日数据；限量：单次最大3000条，可分页和循环提取所有数据；权限：本接口2000积分可以试用，每天10次请求，正式权限需8000积分，每天可请求100000次，10000积分以上无总量限制。,否。页面写 2000 积分可试用、每天 10 次；正式权限需 8000 积分，5000 积分不应视为稳定主权限。,是,否,否,是,否,否,否,是,否,不能直接作为第一批稳定主源；可作为语义最接近的候选补充或人工确认后的备用源。,它是唯一接近卖方盈利预测/一致预期的数据，但 5000 积分只是试用权限且频次很低；第一批若追求稳定，不应依赖它。,是否接受“每天 10 次试用”的 report_rc 作为人工验证/备用？是否计划补到 8000 积分以获得正式权限？
a_stock.get_profit_forecast,同花顺 basic.10jqka.com.cn worth.html；`_ths_eps_forecast` 用 pandas.read_html 解析机构 EPS 一致预期表；再结合腾讯实时价格计算 Forward PE/PEG。,机构盈利预测 / 分析师一致预期 / Forward valuation，而不是上市公司正式业绩预告。,返回 Consensus EPS Forecast、预测机构数、EPS 均值/区间、低覆盖提示、当前价、PE(TTM)、Forward PE、PEG 等。,正常股票 600519 返回同花顺 HTML/反爬页异常文本，长度约 281991，失败内容进入普通返回字符串。,是,forecast,业绩预告,上市公司正式披露的业绩预告，反映公司对报告期净利润变动区间和预告类型的公告口径。,权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用forecast_vip接口（参数一致），需积攒5000积分。,是,否,否,否,是,否,否,否,是,否,不能直接替换，只能作为补充；若使用必须改业务表述为“公司业绩预告”。,公司业绩预告是发行人公告/监管披露口径，不是券商分析师盈利预测，也不代表一致预期。,是否希望在第二批新增“公司业绩预告”数据主题，而不是替代 get_profit_forecast？
a_stock.get_profit_forecast,同花顺 basic.10jqka.com.cn worth.html；`_ths_eps_forecast` 用 pandas.read_html 解析机构 EPS 一致预期表；再结合腾讯实时价格计算 Forward PE/PEG。,机构盈利预测 / 分析师一致预期 / Forward valuation，而不是上市公司正式业绩预告。,返回 Consensus EPS Forecast、预测机构数、EPS 均值/区间、低覆盖提示、当前价、PE(TTM)、Forward PE、PEG 等。,正常股票 600519 返回同花顺 HTML/反爬页异常文本，长度约 281991，失败内容进入普通返回字符串。,是,express,业绩快报,上市公司正式披露的业绩快报，通常为正式财报前的初步经营结果。,权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用express_vip接口（参数一致），需积攒5000积分。,是,否,否,否,是,否,否,否,是,否,不能直接替换，只能作为补充；业务名称应是“业绩快报”。,业绩快报是公司已实现业绩的初步披露，不是预测；和 EPS 一致预期方向不同。,是否需要在第二批补充“正式业绩快报”作为已披露事实源？
a_stock.get_profit_forecast,同花顺 basic.10jqka.com.cn worth.html；`_ths_eps_forecast` 用 pandas.read_html 解析机构 EPS 一致预期表；再结合腾讯实时价格计算 Forward PE/PEG。,机构盈利预测 / 分析师一致预期 / Forward valuation，而不是上市公司正式业绩预告。,返回 Consensus EPS Forecast、预测机构数、EPS 均值/区间、低覆盖提示、当前价、PE(TTM)、Forward PE、PEG 等。,正常股票 600519 返回同花顺 HTML/反爬页异常文本，长度约 281991，失败内容进入普通返回字符串。,是,fina_indicator,财务指标数据,上市公司已披露财务指标，包括 EPS、ROE、每股指标、利润率等历史报告期指标。,描述：获取上市公司财务指标数据，为避免服务器压力，现阶段每次请求最多返回100条记录，可通过设置日期多次请求获取更多数据。；权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用fina_indicator_vip接口（参数一致），需积攒5000积分。,是,否,否,否,是,否,否,否,是,否,不能替代预测；可补强 fundamentals 或作为历史实际财务指标对照。,fina_indicator 是已披露事实，不含未来年度预测或机构覆盖数；适合事实校验，不适合命名为 forecast。,是否允许将历史财务指标并入 fundamentals，而不放入 profit_forecast？
a_stock.get_balance_sheet,新浪 CompanyFinanceService.getFinanceReport2022，source=fzb，按报告日过滤，annual 仅取 12 月报告，返回前 8 条 CSV。,资产负债表财务报表数据。,资产负债表历史报告期 CSV；当前实现未显式区分合并/母公司、报表类型细节，依赖新浪字段。,正常股票 600519 返回 No balance sheet data found。,是,balancesheet,资产负债表,资产负债表接口；按股票代码、公告日期、报告期、报告类型等参数获取上市公司财务报表，输出含 ann_date/f_ann_date/end_date/report_type/comp_type/end_type 等口径字段。,积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用balancesheet_vip接口（参数一致），需积攒5000积分。,是,否,否,是,否,否,是（若下一步确认允许引入 Tushare 替换源）,是,否,否,业务语义高度匹配，可进入下一步替换方案设计的主候选。,Tushare 接口与原函数名称和目标业务含义一致，并提供报告期、公告日、报表类型、公司类型等关键字段；需要在方案阶段处理单季/累计、合并/母公司、字段映射。,是否要求返回“单季”而非累计值？是否只保留合并报表，还是允许母公司/调整表？是否按 ann_date 还是 f_ann_date 做 as_of 截止？
a_stock.get_cashflow,新浪 CompanyFinanceService.getFinanceReport2022，source=llb，按报告日过滤，annual 仅取 12 月报告，返回前 8 条 CSV。,现金流量表财务报表数据。,现金流量表历史报告期 CSV；当前实现未显式区分合并/母公司、报表类型细节，依赖新浪字段。,正常股票 600519 返回 No cash flow data found。,是,cashflow,现金流量表,现金流量表接口；按股票代码、公告日期、报告期、报告类型等参数获取上市公司财务报表，输出含 ann_date/f_ann_date/end_date/report_type/comp_type/end_type 等口径字段。,积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用cashflow_vip接口（参数一致），需积攒5000积分。,是,否,否,是,否,否,是（若下一步确认允许引入 Tushare 替换源）,是,否,否,业务语义高度匹配，可进入下一步替换方案设计的主候选。,Tushare 接口与原函数名称和目标业务含义一致，并提供报告期、公告日、报表类型、公司类型等关键字段；需要在方案阶段处理单季/累计、合并/母公司、字段映射。,是否要求返回“单季”而非累计值？是否只保留合并报表，还是允许母公司/调整表？是否按 ann_date 还是 f_ann_date 做 as_of 截止？
a_stock.get_income_statement,新浪 CompanyFinanceService.getFinanceReport2022，source=lrb，按报告日过滤，annual 仅取 12 月报告，返回前 8 条 CSV。,利润表财务报表数据。,利润表历史报告期 CSV；当前实现未显式区分合并/母公司、报表类型细节，依赖新浪字段。,正常股票 600519 返回 No income statement data found。,是,income,利润表,利润表接口；按股票代码、公告日期、报告期、报告类型等参数获取上市公司财务报表，输出含 ann_date/f_ann_date/end_date/report_type/comp_type/end_type 等口径字段。,积分：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用income_vip接口（参数一致），需积攒5000积分。,是,否,否,是,否,否,是（若下一步确认允许引入 Tushare 替换源）,是,否,否,业务语义高度匹配，可进入下一步替换方案设计的主候选。,Tushare 接口与原函数名称和目标业务含义一致，并提供报告期、公告日、报表类型、公司类型等关键字段；需要在方案阶段处理单季/累计、合并/母公司、字段映射。,是否要求返回“单季”而非累计值？是否只保留合并报表，还是允许母公司/调整表？是否按 ann_date 还是 f_ann_date 做 as_of 截止？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,stock_basic,股票基础信息,A股股票基础列表，包含代码、名称、地域、行业、市场类型、上市状态、上市日期等证券基础信息。,限量：每次最多返回6000行数据（覆盖全市场A股，会随股票总数增长而增加）；权限：2000积分起，每分钟请求50次。此接口是基础信息，调取一次就可以拉取完，建议保存倒本地存储后使用,是,否,否,否,是,否,否,是,否,否,适合作为基础信息部分的稳定候选，不可单独替换整个 fundamentals。,它覆盖名称、行业、上市日期等静态基础字段，但不覆盖实时估值、PE/PB、市值、财务指标。,fundamentals 第一批是否只要求恢复核心估值/市值，还是也必须补齐基础信息？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,stock_company,上市公司基本信息,上市公司公司层面基础信息，含公司全称、法人、董秘、注册资本、成立日期、主营业务等。,描述：获取上市公司基础信息，单次提取4500条，可以根据交易所分批提取；积分：用户需要至少120积分才可以调取，具体请参阅 积分获取办法,是,否,否,否,是,否,否,是,否,否,适合作为公司画像补充，不适合作为第一批核心主源。,它是公司实体信息，不是交易估值或每日基本面；可补全公司资料但不能修复 PE/PB/市值缺失。,是否需要在 fundamentals 输出公司高管/注册地址/主营业务等画像字段？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,daily_basic,每日指标,每日股票基本面指标，含收盘价、换手率、量比、PE、PB、PS、总市值、流通市值、股本等交易日指标。,描述：获取全部股票每日重要的基本面指标，可用于选股分析、报表展示等。单次请求最大返回6000条数据，可按日线循环提取全部历史。；积分：至少2000积分才可以调取，5000积分无总量限制，具体请参阅 积分获取办法,是,否,否,否,是,否,是,是,否,否,适合作为第一批 fundamentals 核心估值/市值主候选。,它直接覆盖当前函数最关键的价格、PE/PB、市值、换手率、股本类字段，业务上最能修复 Smoke 暴露的核心缺口。,第一批是否允许 fundamentals 从“实时”估值降级为最近交易日 EOD 指标？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,fina_indicator,财务指标数据,已披露财务指标，含 EPS、ROE、每股指标、利润率、成长能力、偿债能力等报告期指标。,描述：获取上市公司财务指标数据，为避免服务器压力，现阶段每次请求最多返回100条记录，可通过设置日期多次请求获取更多数据。；权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法；提示：当前接口只能按单只股票获取其历史数据，如果需要获取某一季度全部上市公司数据，请使用fina_indicator_vip接口（参数一致），需积攒5000积分。,是,否,否,否,是,否,否,是,是,否,适合作为 fundamentals 财务指标补充；不建议作为第一批最小修复唯一主源。,它能替代 mootdx finance 中 EPS/ROE 等历史财务快照，但不能提供日频估值、市值、行业。,是否希望第一批 fundamentals 包含报告期财务指标，还是只恢复日频估值/市值？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,dividend,分红送股,上市公司分红送股数据，含预案、实施进度、每股分红、送转比例等。,权限：用户需要至少2000积分才可以调取，具体请参阅 积分获取办法,是,否,否,否,是,否,否,否,是,否,只适合作为第二批业务补充。,分红是基本面相关事件，但不是当前 Smoke 缺失的核心估值/市值字段。,是否要把分红纳入 fundamentals，还是独立成事件数据？
a_stock.get_fundamentals,组合源：腾讯实时估值/行情、mootdx finance 财务快照、东财 push2 基础信息、同花顺 EPS 一致预期；输出拼接文本。,公司基本面总览，包括名称、行业、价格、估值、市值、股本、财务快照、可能的一致预期。,理想情况下返回 Name/Price/PE/PB/Market Cap/Turnover/股本/行业/上市日期/一致预期 EPS/Forward PE；Smoke 中实际只剩 Float Shares/Total Shares。,正常股票 600519 只返回 Float Shares/Total Shares，腾讯/东财/同花顺子源疑似失败且静默。,是,adj_factor,复权因子,股票复权因子，用于复权行情计算。,积分要求：2000积分起，5000以上可高频调取,是,否,否,否,是,否,否,否,是,否,不建议作为 fundamentals 替换；仅作为行情复权支持数据。,复权因子是价格序列调整工具，不是公司基本面字段。,是否需要在行情替换阶段单独评估 adj_factor，而不是 fundamentals 阶段？
a_stock.get_fund_flow,东财 push2 个股资金流接口：实时分钟主力/大小单/超大单净流入，以及 push2his 近 20 个交易日日资金流。,个股资金流向，尤其是主力/大单/中单/小单净流入，不是市场级资金或北向资金。,返回单只股票实时分钟资金流和历史日资金流，并附带主力净流入 Signal 文案。,正常股票 300750 东财 push2 连接/代理错误，以普通错误字符串返回。,是,moneyflow,个股资金流向,沪深A股个股资金流向，分析大单小单成交情况，字段包括小/中/大/超大单买卖量和金额。,限量：单次最大提取6000行记录，总量不限制；积分：用户需要至少2000积分才可以调取，基础积分有流量控制，积分越多权限越大，请自行提高积分，具体请参阅 积分获取办法,是,否,否,是,否,否,是,是,否,否,业务语义最匹配，可作为第一批主替换候选。,它是个股资金流，且字段口径与当前函数大/小/主力资金流高度一致；数据开始于 2010 年，5000 积分稳定可用。,是否接受 Tushare 历史日频资金流替代当前“实时分钟 + 近20日”混合口径中的实时部分？
a_stock.get_fund_flow,东财 push2 个股资金流接口：实时分钟主力/大小单/超大单净流入，以及 push2his 近 20 个交易日日资金流。,个股资金流向，尤其是主力/大单/中单/小单净流入，不是市场级资金或北向资金。,返回单只股票实时分钟资金流和历史日资金流，并附带主力净流入 Signal 文案。,正常股票 300750 东财 push2 连接/代理错误，以普通错误字符串返回。,是,moneyflow_dc,个股资金流向（DC）,东方财富个股资金流向，日频盘后更新，含主力净流入额、净占比、大单/超大单等字段。,限量：单次最大获取6000条数据，可根据日期或股票代码循环提取数据；积分：用户需要至少5000积分才可以调取，具体请参阅 积分获取办法,是,否,否,否,是,否,否,是,否,否,适合作为第一批备用源或字段对齐候选。,来源口径同属东财，接近当前实现，但 Tushare 页面显示日频盘后更新，不是实时分钟；可作备用但不是完全等价。,第一批是否必须保留实时分钟资金流？若必须，moneyflow_dc 只能补历史日频。
