source_doc_id,source_url,source_path,一级分类,二级分类,三级分类,接口中文名称,接口英文名 / API 名称,接口描述,权限要求原文,最低积分要求,当前5000积分是否可用,每分钟调用限制,每日调用限制,单次最大返回条数,输入参数,输出参数,是否属于基础数据,是否属于行情数据,是否属于财务数据,是否属于新闻/资讯/舆情数据,是否属于资金流/资金面数据,是否属于股东/解禁/龙虎榜/公告等事件数据,是否适合作为TradingAgents-astock数据源替换候选,可替换当前TradingAgents哪类函数或数据主题,备注
127,https://tushare.pro/document/2?doc_id=127,ETF专题 > ETF日线行情,ETF专题,,,ETF日线行情,fund_daily,获取ETF行情每日收盘后成交数据，历史超过10年,限量：单次最大5000行记录，可以根据ETF代码和日期循环获取历史，总量不限制；积分：需要至少5000积分才可以调取，8000积分频次更高，具体请参阅 积分获取办法,5000,5000积分可用,,,5000,"ts_code(类型:str,必选:N):基金代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD格式，下同) | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期",ts_code(类型:str):TS代码 | trade_date(类型:str):交易日期 | open(类型:float):开盘价(元) | high(类型:float):最高价(元) | low(类型:float):最低价(元) | close(类型:float):收盘价(元) | pre_close(类型:float):昨收盘价(元) | change(类型:float):涨跌额(元) | pct_chg(类型:float):涨跌幅(%) | vol(类型:float):成交量(手) | amount(类型:float):成交额(千元),否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射
385,https://tushare.pro/document/2?doc_id=385,ETF专题 > ETF基础信息,ETF专题,,,ETF基础信息,etf_basic,获取国内ETF基础信息，包括了QDII。数据来源与沪深交易所公开披露信息。,限量：单次请求最大放回5000条数据（当前ETF总数未超过2000）；权限：用户积8000积分可调取，具体请参阅 积分获取办法,8000,5000积分不可用,,,,"ts_code(类型:str,必选:N):ETF代码（带.SZ/.SH后缀的6位数字，如：159526.SZ） | index_code(类型:str,必选:N):跟踪指数代码 | list_date(类型:str,必选:N):上市日期（格式：YYYYMMDD） | list_status(类型:str,必选:N):上市状态（L上市 D退市 P待上市） | exchange(类型:str,必选:N):交易所（SH上交所 SZ深交所） | mgr(类型:str,必选:N):管理人（简称，e.g.华夏基金)",ts_code(类型:str):基金交易代码 | csname(类型:str):ETF中文简称 | extname(类型:str):ETF扩位简称(对应交易所简称) | cname(类型:str):基金中文全称 | index_code(类型:str):ETF基准指数代码 | index_name(类型:str):ETF基准指数中文全称 | setup_date(类型:str):设立日期（格式：YYYYMMDD） | list_date(类型:str):上市日期（格式：YYYYMMDD） | list_status(类型:str):存续状态（L上市 D退市 P待上市） | exchange(类型:str):交易所（上交所SH 深交所SZ） | mgr_name(类型:str):基金管理人简称 | custod_name(类型:str):基金托管人名称 | mgt_fee(类型:float):基金管理人收取的费用 | etf_type(类型:str):基金投资通道类型（境内、QDII）,是,否,否,否,否,是,否,,分类来自总览页链接或显式目录映射
386,https://tushare.pro/document/2?doc_id=386,ETF专题 > ETF基准指数列表,ETF专题,,,ETF基准指数列表,etf_index,获取ETF基准指数列表信息,限量：单次请求最大返回5000行数据（当前未超过2000个）；权限：用户积累8000积分可调取，具体请参阅 积分获取办法,8000,5000积分不可用,,,5000,"ts_code(类型:str,必选:N):指数代码 | pub_date(类型:str,必选:N):发布日期（格式：YYYYMMDD） | base_date(类型:str,必选:N):指数基期（格式：YYYYMMDD）",ts_code(类型:str):指数代码 | indx_name(类型:str):指数全称 | indx_csname(类型:str):指数简称 | pub_party_name(类型:str):指数发布机构 | pub_date(类型:str):指数发布日期 | base_date(类型:str):指数基日 | bp(类型:float):指数基点(点) | adj_circle(类型:str):指数成份证券调整周期,否,否,否,否,否,否,否,,分类来自总览页链接或显式目录映射
387,https://tushare.pro/document/2?doc_id=387,ETF专题 > ETF历史分钟行情,ETF专题,,,ETF历史分钟行情,etf_mins,获取ETF分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,限量：单次最大8000行数据，可以通过股票代码和时间循环获取，本接口可以提供超过10年ETF历史分钟数据；权限：正式权限请参阅 权限说明,,需确认,,,8000,"ts_code(类型:str,必选:Y):ETF代码，e.g. 159001.SZ | freq(类型:str,必选:Y):分钟频度（1min/5min/15min/30min/60min） | start_date(类型:datetime,必选:N):开始日期 格式：2025-06-01 09:00:00 | end_date(类型:datetime,必选:N):结束时间 格式：2025-06-20 19:00:00",ts_code(类型:str):ETF代码 | trade_time(类型:str):交易时间 | open(类型:float):开盘价 | close(类型:float):收盘价 | high(类型:float):最高价 | low(类型:float):最低价 | vol(类型:int):成交量（股） | amount(类型:float):成交金额（元）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射；权限命中单独/申请/开通等关键词，未强判为可用
400,https://tushare.pro/document/2?doc_id=400,ETF专题 > ETF实时日线,ETF专题,,,ETF实时日线,rt_etf_k,获取ETF实时日k线行情，支持按ETF代码或代码通配符一次性提取全部ETF实时日k线行情,积分：本接口是单独开权限的数据，单独申请权限请参考 权限列表,,需确认,,,,"ts_code(类型:str,必选:Y):支持通配符方式，e.g. 5*.SH、15*.SZ、159101.SZ | topic(类型:str,必选:Y):分类参数，取上海ETF时，需要输入'HQ_FND_TICK'，参考下面例子",ts_code(类型:str):ETF代码 | name(类型:None):ETF名称 | pre_close(类型:float):昨收价（元） | high(类型:float):最高价（元） | open(类型:float):开盘价（元） | low(类型:float):最低价（元） | close(类型:float):收盘价（最新价） | vol(类型:int):成交量（股） | amount(类型:int):成交金额（元） | num(类型:int):开盘以来成交笔数 | ask_volume1(类型:int):委托卖盘（股） | bid_volume1(类型:int):委托买盘（股） | trade_time(类型:str):交易时间,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射；权限命中单独/申请/开通等关键词，未强判为可用
408,https://tushare.pro/document/2?doc_id=408,ETF专题 > ETF份额规模,ETF专题,,,ETF份额规模,etf_share_size,获取沪深ETF每日份额和规模数据，能体现规模份额的变化，掌握ETF资金动向，同时提供每日净值和收盘价；数据指标是分批入库，交易所于次日早8点30左右更新上一交易日的数据；另外，涉及海外的ETF数据更新会晚一些属于正常情况。,限量：单次最大5000条，可根据代码或日期循环提取；积分：需要8000积分可以调取，具体请参阅 积分获取办法,8000,5000积分不可用,,,5000,"ts_code(类型:str,必选:N):基金代码 （可从ETF基础信息接口提取） | trade_date(类型:str,必选:N):交易日期（YYYYMMDD格式，下同） | start_date(类型:str,必选:N):开始日期 | end_date(类型:str,必选:N):结束日期 | exchange(类型:str,必选:N):交易所（SSE上交所 SZSE深交所）",trade_date(类型:str):交易日期 | ts_code(类型:str):ETF代码 | etf_name(类型:str):基金名称 | total_share(类型:float):总份额（万份） | total_size(类型:float):总规模（万元） | nav(类型:float):基金份额净值(元) | close(类型:float):收盘价（元） | exchange(类型:str):交易所（SSE上交所 SZSE深交所 BSE北交所）,否,否,是,否,否,否,否,,分类来自总览页链接或显式目录映射
416,https://tushare.pro/document/2?doc_id=416,ETF专题 > ETF实时分钟,ETF专题,,,ETF实时分钟,rt_etf_min,获取ETF实时分钟数据，包括1~60min,限量：单次最大1000行数据，可以通过ETF代码提取数据，支持逗号分隔的多个代码同时提取；权限：正式权限请参阅 权限说明；注：支持股票当日开盘以来的所有ETF历史分钟数据提取，接口名：rt_etf_min_daily（仅支持一个个代码提取，不同同时提取多个），可以 在线开通 权限。,,需确认,,,1000,"freq(类型:str,必选:Y):1MIN,5MIN,15MIN,30MIN,60MIN （大写） | ts_code(类型:str,必选:Y):支持单个和多个：589960.SH 或者 589960.SH,159100.SZ",ts_code(类型:str):股票代码 | time(类型:None):交易时间 | open(类型:float):开盘价 | close(类型:float):收盘价 | high(类型:float):最高价 | low(类型:float):最低价 | vol(类型:float):成交量(股） | amount(类型:float):成交额（元）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射；权限命中单独/申请/开通等关键词，未强判为可用
454,https://tushare.pro/document/2?doc_id=454,ETF专题 > ETF实时参考,ETF专题,,,ETF实时参考,rt_etf_sz_iopv,ETF实时净值和申购赎回数据参考，目前只提供深市,限量：单次最大5000条，完全覆盖当前总量；权限：本接口为单独开权限的接口，跟积分多个无关。正式权限请参阅 权限说明,,需确认,,,5000,"ts_code(类型:str,必选:N):ETF代码（默认为空，即一次全市场。支持单个和多个ETF过滤提取）",trade_time(类型:datetime):交易时间 | ts_code(类型:str):ETF代码 | vol(类型:float):成交量（份） | num(类型:int):成交笔数 | amount(类型:float):成交金额（元） | price(类型:float):最新价（元） | iopv(类型:float):最近参考净值 | pre_iopv(类型:float):前一日参考净值 | buy_num(类型:int):申购笔数 | buy_vol(类型:float):申购买量(份) | sell_num(类型:int):赎回笔数 | sell_vol(类型:float):赎回买量（份）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射；权限命中单独/申请/开通等关键词，未强判为可用
470,https://tushare.pro/document/2?doc_id=470,ETF专题 > ETF实时分钟-日累计,ETF专题,,,ETF实时分钟-日累计,rt_etf_min_daily,获取ETF实时分钟数据日累计，包括1~60min,限量：单次最大1000行数据，支持股票当日开盘以来的所有ETF历史分钟数据提取（仅支持一个个代码提取，不同同时提取多个）；权限：正式权限请参阅 权限说明,,需确认,,,1000,"freq(类型:str,必选:Y):1MIN,5MIN,15MIN,30MIN,60MIN （大写） | ts_code(类型:str,必选:Y):只支持单个",ts_code(类型:str):股票代码 | time(类型:None):交易时间 | open(类型:float):开盘价 | close(类型:float):收盘价 | high(类型:float):最高价 | low(类型:float):最低价 | vol(类型:float):成交量(股） | amount(类型:float):成交额（元）,否,是,否,否,否,否,否,,分类来自总览页链接或显式目录映射；权限命中单独/申请/开通等关键词，未强判为可用
471,https://tushare.pro/document/2?doc_id=471,ETF专题 > ETF每日持仓组合(沪市）,ETF专题,,,ETF每日持仓组合(沪市）,etf_sh_cons,"获取上交所场内所有ETF每日盘前披露的的一篮子组合信息,包括成分股票数量、申赎现金折溢价比例等数据",限量：单次最大3000条，可根据代码或日期循环提取；积分：需要8000积分可以调取，具体请参阅 积分获取办法,8000,5000积分不可用,,,3000,"ts_code(类型:str,必选:N):板块代码 | trade_date(类型:str,必选:N):交易日期(YYYYMMDD) | con_code(类型:str,必选:N):成分股票代码 | start_date(类型:str,必选:N):开始日期(YYYYMMDD) | end_date(类型:str,必选:N):结束日期(YYYYMMDD)",trade_date(类型:str):交易日期 | ts_code(类型:str):ETF代码 | con_code(类型:str):成分代码 | con_name(类型:str):成分名称 | qty(类型:int):股票数量(股) | sub_flag(类型:str):现金替代标志：允许/必须 | cpr(类型:float):申购现金替代溢价比率（%） | rdr(类型:float):赎回现金替代折价比率（%） | sca(类型:float):替代金额(单位：人民币元) | exchange(类型:str):交易所代码HK港交所 SH上交所 SZ深交所 OTH其他,否,否,否,否,否,是,否,,分类来自总览页链接或显式目录映射
